year,value
1922,20.51758905824053
1923,2.9693760439277685
1924,10.265921091506902
1925,3.7586548144567136
1926,17.619395219015903
1927,11.69355836868768
1928,0.9363265740710558
1929,17.986266411932803
1930,3.991323607461678
1931,18.099622744806737
1932,12.792250855347733
1933,0.1254187137646523
1934,15.007936111324987
1935,11.301380049979814
1936,3.9919275601776465
1937,3.9567043502064885
1938,16.63593534816773
1939,15.288302995674604
1940,2.311650840415086
1941,4.735082172850754
1942,22.986378133546843
1943,9.185027763679884
1944,6.036796513538251
1945,7.325485887238201
1946,0.20827817869575882
1947,14.224566705058933
1948,21.615756502389196
1949,23.736416958029256
1950,11.876582458198982
1951,18.524477023603282
1952,23.259390334220274
1953,4.507575501645733
1954,5.292340388179281
1955,6.093221055570836
1956,12.194840973463904
1957,22.985311529600928
1958,10.191622641409257
1959,6.062550809707276
1960,17.39255732427033
1961,2.4883019551915964
1962,10.897795941639089
1963,2.4033110566162974
1964,8.730124895293164
1965,17.01155000474065
1966,24.161164425314187
1967,15.041967066691402
1968,1.1736190803905506
1969,16.050782013126767
1970,18.485485535201686
1971,7.511393348275281
1972,4.493453700218924
1973,19.495111260854543
1974,4.677671463489583
1975,6.905569998311958
1976,17.090706888704794
1977,5.644490100889038
1978,16.656290421452606
1979,21.424911539321094
1980,16.306726769428508
1981,21.482886126126786
1982,17.493699840821286
1983,14.231706701415817
1984,8.724157103567562
1985,15.581119277333535
1986,13.846126360984076
1987,9.006801332196781
1988,13.224045739558138
1989,4.83753523118213
1990,8.497670612227228
1991,17.997841872639054
1992,2.99246150253262
1993,14.021572691558607
1994,10.182540150977951
1995,11.908163284535636
1996,4.149902849830375
1997,17.88263482959981
1998,17.39814915225926
1999,24.787753469363324
2000,10.774683034604168
2001,10.541334838897873
2002,15.890658954108996
2003,20.27851138498682
2004,22.57371883044633
2005,18.450956441162067
2006,8.402097461330985
2007,11.889849782987227
2008,15.595521157792508
2009,8.854411011393218
2010,0.7888354243163059
2011,21.668180197556282
2012,4.607353095592015
2013,17.352004935672664
2014,24.65803212579882
2015,5.457653189311645
2016,0.6271150576974943
2017,12.837524765832992
2018,15.34935301759462
2019,18.76383254914596
2020,18.271999317947703
2021,7.227434937381194
